 ,Area,Mean,Min,Max
1,1880,255,255,255
2,4,255,255,255
3,148,255,255,255
4,32,255,255,255
5,11,255,255,255
6,8,255,255,255
7,175,255,255,255
8,3,255,255,255
9,2,255,255,255
10,9285,255,255,255
11,7,255,255,255
12,18,255,255,255
13,1,255,255,255
14,4,255,255,255
15,16,255,255,255
16,28,255,255,255
17,10,255,255,255
18,1,255,255,255
19,6,255,255,255
20,29,255,255,255
21,45,255,255,255
22,10,255,255,255
23,12,255,255,255
24,13,255,255,255
25,1,255,255,255
26,4,255,255,255
27,7,255,255,255
28,4,255,255,255
29,1,255,255,255
30,12,255,255,255
31,20,255,255,255
32,2,255,255,255
33,1,255,255,255
34,13,255,255,255
