epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247296,0,90.9424,0,0.00162,0.04491,0.00088,0.00025,3.98681,14.0486,12.4045,0.000552509,0.000552509,0.000552509
2,253798,0,43.2197,0,0.00145,0.03654,0.00078,0.00022,3.60627,4.67991,3.14289,0.00108623,0.00108623,0.00108623
3,255704,0,10.4151,0,0.00485,0.00999,0.00248,0.00056,3.76385,7.35133,14.0321,0.00159795,0.00159795,0.00159795
4,257773,0,1.19976,0,0.00485,0.00999,0.00248,0.00056,3.87625,6.86648,2.95418,0.00156798,0.00156798,0.00156798
5,260167,0,0.04779,0,0.00485,0.00999,0.00248,0.00056,3.7292,8.19149,3.12139,0.00153497,0.00153497,0.00153497
6,262707,0,0.00192,0,0.00485,0.00999,0.00248,0.00056,3.66426,8.52094,3.04598,0.00150197,0.00150197,0.00150197
7,264274,0,0,0,0.00485,0.00999,0.00248,0.00056,3.682,8.77029,3.07781,0.00146896,0.00146896,0.00146896
8,265946,0,0,0,0.00485,0.00999,0.00248,0.00056,3.69162,8.91805,3.10376,0.00143595,0.00143595,0.00143595
9,267578,0,0,0,0.00485,0.00999,0.00248,0.00056,3.71108,9.07953,3.1659,0.00140295,0.00140295,0.00140295
10,269208,0,0,0,0.00485,0.00999,0.00248,0.00056,3.70603,9.16725,3.16814,0.00136994,0.00136994,0.00136994
11,270789,0,0,0,0.00485,0.00999,0.00248,0.00056,3.72612,9.25975,3.20233,0.00133693,0.00133693,0.00133693
12,272390,0,0,0,0.00485,0.00999,0.00248,0.00056,3.73498,9.33532,3.20691,0.00130393,0.00130393,0.00130393
13,273959,0,0,0,0.00485,0.00999,0.00248,0.00056,3.75463,9.38242,3.20372,0.00127092,0.00127092,0.00127092
14,275564,0,0,0,0.00485,0.00999,0.00248,0.00056,3.71598,9.37826,3.17184,0.00123791,0.00123791,0.00123791
15,277053,0,0,0,0.00485,0.00999,0.00248,0.00056,3.73049,9.48945,3.14659,0.00120491,0.00120491,0.00120491
