 ,Area,Mean,Min,Max
1,75,255,255,255
2,26,255,255,255
3,1,255,255,255
4,9,255,255,255
5,4,255,255,255
6,7,255,255,255
7,5,255,255,255
8,2,255,255,255
9,4,255,255,255
10,27,255,255,255
11,11,255,255,255
12,29,255,255,255
13,1,255,255,255
14,19,255,255,255
15,1,255,255,255
16,32,255,255,255
17,2,255,255,255
18,22,255,255,255
19,7,255,255,255
20,18,255,255,255
21,10,255,255,255
22,20,255,255,255
23,26,255,255,255
24,1,255,255,255
25,62,255,255,255
26,1,255,255,255
27,41,255,255,255
28,8,255,255,255
29,64,255,255,255
30,1,255,255,255
31,57,255,255,255
32,62,255,255,255
33,15,255,255,255
34,40,255,255,255
35,12,255,255,255
36,59,255,255,255
37,10,255,255,255
38,49,255,255,255
39,26,255,255,255
40,1,255,255,255
41,11,255,255,255
42,3,255,255,255
43,48,255,255,255
44,24,255,255,255
45,48,255,255,255
46,51,255,255,255
47,183,255,255,255
48,24,255,255,255
49,110,255,255,255
50,393,255,255,255
51,107,255,255,255
52,23,255,255,255
53,10,255,255,255
54,3,255,255,255
55,8,255,255,255
